MAID	NAME	FORMULA	Ontology	INCHIKEY	SMILES	INSTRUMENTTYPE	ExactMass	PUBCHEM	Num_Spectra	Species	Cas	KEGG	Reaction	Pathway	Biospecimen	Healthcondition
MA000011	1,3 Cyclohexanedione	C6H8O2	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	HJSLFCCWAKVHIW-UHFFFAOYSA-N	O=C1CC(=O)CCC1	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	112.052429496	10434	7		504-02-9	C08235				
MA000012	1,4-Cyclohexanedicarboxylic acid	C8H12O4	Organic acids and derivatives|Carboxylic acids and derivatives|Dicarboxylic acids and derivatives	PXGZQGDTEZPERC-UHFFFAOYSA-N	O=C(O)C1CCC(C(=O)O)CC1	ESI-QFT|ESI-QTOF	172.073558864	14106	3		1076-97-7	C11945	R06410|R06412	map00903		
MA000013	1,4-Cyclohexanedione	C6H8O2	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	DCZFGQYXRKMVFG-UHFFFAOYSA-N	O=C1CCC(=O)CC1	ESI-QFT|ESI-QTOF|GC-EI-TOF|EI-B	112.052429496	12511	12		637-88-7	C10325				
MA000014	1,7-Dimethyluric acid	C7H8N4O3	Organoheterocyclic compounds|Imidazopyrimidines|Purines and purine derivatives	NOFNCLGCUJJPKU-UHFFFAOYSA-N	CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2	ESI-QFT|ESI-QTOF	196.05964011599997	91611	9	human	33868-03-0	C16356	R07945|R07977	map00232|map01100|map01110	urine	
MA000015	1-Acetylimidazole	C5H6N2O	Organoheterocyclic compounds|Azoles|Imidazoles	VIHYIVKEECZGOU-UHFFFAOYSA-N	O=C(N1C=NC=C1)C	ESI-QFT|ESI-QTOF	110.048012812	17174	2		2466-76-4	C02560	R03621			
MA000016	1-Benzylimidazole	C10H10N2	Organoheterocyclic compounds|Azoles|Imidazoles	KKKDZZRICRFGSD-UHFFFAOYSA-N	N=1C=CN(C1)CC=2C=CC=CC2	ESI-QFT|ESI-QTOF	158.08439832	77918	2		4238-71-5					
MA000017	1-Methyladenosine	C11H15N5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	GFYLSDSUCHVORB-IOSLPCCCSA-N	CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF	281.11240396	27476	39	human	15763-06-1	C02494	R03885		urine	Kidney disease|Uremia|Cancer|Colorectal cancer|Ovarian cancer|Cholangiocarcinoma|Leukemia|Stomach cancer|Cervical cancer
MA000018	1-Methylguanosine	C11H15N5O5	Nucleosides, nucleotides, and analogues|Purine nucleosides|	UTAIYTHAJQNQDW-KQYNXXCUSA-N	CN1C(N)=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=O	ESI-QFT|ESI-QTOF	297.10731858	96373	4	human	2140-65-0				urine	Kidney disease|Uremia
MA000019	1-Methylnicotinamide	C7H9N2O+	Organoheterocyclic compounds|Pyridines and derivatives|Pyridinecarboxylic acids and derivatives	LDHMAVIPBRSVRG-UHFFFAOYSA-O	C[N+]1=CC=CC(=C1)C(N)=O	ESI-QFT|ESI-QTOF|ESI-QQQ	137.07093932809073	457	22	human	3106-60-3	C02918	R01269|R04085|R08408	map00760|map01100|map04976	urine	Pellagra|Cancer|Lung cancer
MA000020	1-Methylpseudouridine	C10H14N2O6	Nucleosides, nucleotides, and analogues|Nucleoside and nucleotide analogues|	UVBYMVOUBXYSFV-XUTVFYLZSA-N	O=C1N=C(O)C(=CN1C)C2OC(CO)C(O)C2O	ESI-QFT|ESI-QTOF	258.085186168	99543	4		13860-38-3					
MA000021	1-Methyltryptophan	C12H14N2O2	Organoheterocyclic compounds|Indoles and derivatives|Indolyl carboxylic acids and derivatives	ZADWXFSZEAPBJS-JTQLQIEISA-N	O=C(O)C(N)CC1=CN(C=2C=CC=CC21)C	ESI-QFT|ESI-QTOF	218.105527688	676159	4		21339-55-9					
MA000022	16-Glucuronide-estriol	C24H32O9	Lipids and lipid-like molecules|Steroids and steroid derivatives|Steroidal glycosides	FQYGGFDZJFIDPU-JRSYHJKYSA-N	C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O[C@@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O)[C@@H]2O	ESI-QFT|ESI-QTOF	464.204632604	122281	4	human	1852-50-2	C05504	R04683	map00140	urine	Pregnancy
MA000023	2'-Deoxyadenosine-5'-monophosphate	C10H14N5O6P	Nucleosides, nucleotides, and analogues|Purine nucleotides|Purine deoxyribonucleotides	KHWCHTKSEGGWEX-RRKCRQDMSA-N	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	ESI-QFT|ESI-QTOF|ESI-QQQ||GC-EI-TOF	331.068169798	12599	29	human	653-63-4	C10413			proteins	
MA000024	2'-Deoxycytidine	C9H13N3O4	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|Pyrimidine 2'-deoxyribonucleosides	CKTSBUTUHBMZGZ-SHYZEUOFSA-N	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	ESI-QFT|ESI-QTOF|ESI-QQQ|	227.09060589599997	13711	43	human	951-77-9	C11544	R05790|R09666|R11169|R12095	map00051|map01100|map02060	urine	
MA000025	2'-Deoxyguanosine 3'-monophosphate	C10H14N5O7P	Nucleosides, nucleotides, and analogues|Ribonucleoside 3'-phosphates|	QQMSZHORHNORLP-KVQBGUIXSA-N	O=P(O)(O)OC1CC(OC1CO)N2C=NC=3C(O)=NC(=N)NC32	ESI-QFT|ESI-QTOF	347.063084418	135449322	2		6220-62-8					
MA000026	2'-Deoxyguanosine 5'-monophosphate	C10H14N5O7P	Nucleosides, nucleotides, and analogues|Purine nucleotides|Purine deoxyribonucleotides	LTFMZDNNPPEQNG-KVQBGUIXSA-N	NC1=NC(=O)C2=C(N1)N(C=N2)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	ESI-QFT|ESI-QTOF|ESI-QQQ	347.063084418	135398597	30	human	902-04-5				proteins	
MA000027	2'-Deoxyguanosine	C10H13N5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|Purine 2'-deoxyribonucleosides	YKBGVTZYEHREMT-KVQBGUIXSA-N	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	267.096753896	135398592	34	human	961-07-9	C00330	R01856|R01967|R01968|R01969	map00230|map01100|map02010	urine	
MA000028	2'-O-Methyl-5-methylcytidine	C11H17N3O5	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	CNVRVGAACYEOQI-FDDDBJFASA-N	N=C1N=C(O)N(C=C1C)C2OC(CO)C(O)C2OC	ESI-QFT|ESI-QTOF	271.11682064400003	18660583	4							
MA000029	2'-O-Methyl-5-methyluridine	C11H16N2O6	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	YHRRPHCORALGKQ-FDDDBJFASA-N	O=C1N=C(O)C(=CN1C2OC(CO)C(O)C2OC)C	ESI-QFT|ESI-QTOF	272.100836232	191372	4		55486-09-4					
MA000030	2'-O-Methyladenosine	C11H15N5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	FPUGCISOLXNPPC-IOSLPCCCSA-N	OCC1OC(N2C=NC=3C(=NC=NC32)N)C(OC)C1O	ESI-QFT|ESI-QTOF	281.11240396	102213	6		2140-79-6					
MA000031	2'-O-Methylcytidine	C10H15N3O5	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	RFCQJGFZUQFYRF-ZOQUXTDFSA-N	N=C1N=C(O)N(C=C1)C2OC(CO)C(O)C2OC	ESI-QFT|ESI-QTOF	257.10117058000003	150971	4		2140-72-9					
MA000032	2'-O-Methylguanosine	C11H15N5O5	Nucleosides, nucleotides, and analogues|Purine nucleosides|	OVYNGSFVYRPRCG-KQYNXXCUSA-N	N=C1N=C(O)C=2N=CN(C2N1)C3OC(CO)C(O)C3OC	ESI-QFT|ESI-QTOF	297.10731858	135406950	9		2140-71-8					
MA000033	2'-O-Methylinosine	C11H14N4O5	Nucleosides, nucleotides, and analogues|Purine nucleosides|	HPHXOIULGYVAKW-IOSLPCCCSA-N	OC1=NC=NC2=C1N=CN2C3OC(CO)C(O)C3OC	ESI-QFT|ESI-QTOF	282.096419548	135412763	4							
MA000034	2'-O-Methyluridine	C10H14N2O6	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	SXUXMRMBWZCMEN-ZOQUXTDFSA-N	O=C1N=C(O)C=CN1C2OC(CO)C(O)C2OC	ESI-QFT|ESI-QTOF	258.08518616799995	102212	4		2140-76-3					
MA000035	2,3-Butanediol	C4H10O2	Organic oxygen compounds|Organooxygen compounds|Alcohols and polyols	OWBTYPJTUOEWEK-UHFFFAOYSA-N	CC(O)C(C)O	ESI-QFT|ESI-QQQ|EI-B	90.06807956	262	6	human	513-85-9				serum	Cirrhosis
MA000036	2,3-Dideoxycytidine	C9H13N3O3	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|Pyrimidine 2',3'-dideoxyribonucleosides	WREGKURFCTUGRC-POYBYMJQSA-N	NC1=NC(=O)N(C=C1)[C@H]1CC[C@@H](CO)O1	ESI-QFT|ESI-QTOF|ESI-QQQ	211.095691276	24066	13	human	7481-89-2	C07207		map04976	urine	
MA000037	2,3-Dideoxyuridine	C9H12N2O4	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|Pyrimidine 2',3'-dideoxyribonucleosides	BTOTXLJHDSNXMW-POYBYMJQSA-N	O=C1N=C(O)C=CN1C2OC(CO)CC2	ESI-QFT|ESI-QTOF	212.079706864	65161	3		5983-09-5					
MA000038	2,6-Diaminopimelic acid	C7H14N2O4	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	GMKMEZVLHJARHF-UHFFFAOYSA-N	O=C(O)C(N)CCCC(N)C(=O)O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF	190.095356928	865	21		583-93-7					
MA000039	2,8-Quinolinediol	C9H7NO2	Organoheterocyclic compounds|Quinolines and derivatives|Quinolones and derivatives	ZXZKYYHTWHJHFT-UHFFFAOYSA-N	OC=1N=C2C(O)=CC=CC2=CC1	ESI-QFT|ESI-QTOF|GC-EI-TOF	161.047678464	97250	5		15450-76-7					
MA000040	2-(2-Aminoethyl)pyridine	C7H10N2	Organic nitrogen compounds|Organonitrogen compounds|Amines	XPQIPUZPSLAZDV-UHFFFAOYSA-N	N=1C=CC=CC1CCN	ESI-QFT|ESI-QTOF	122.08439831999999	75919	2		2706-56-1					
MA000041	2-alpha-Mannobiose	C12H22O11	Organic oxygen compounds|Organooxygen compounds|Carbohydrates and carbohydrate conjugates	HIWPGCMGAMJNRG-VXSGSMIHSA-N	OCC1OC(O)C(OC2OC(CO)C(O)C(O)C2O)C(O)C1O	ESI-QFT|ESI-QTOF	342.116211524	11099946	3							
MA000042	2-Amino-3-methoxybenzoic acid	C8H9NO3	Benzenoids|Benzene and substituted derivatives|Benzoic acids and derivatives	SXOPCLUOUFQBJV-UHFFFAOYSA-N	COC1=CC=CC(C(O)=O)=C1N	ESI-QFT|ESI-QTOF|GC-EI-TOF|GC-MS	167.05824314799997	255720	7	human					proteins	
MA000043	2-Aminoacetophenone	C8H9NO	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	HEQOJEGTZCTHCF-UHFFFAOYSA-N	NCC(=O)C1=CC=CC=C1	ESI-QFT|ESI-QTOF	135.068413908	11952	2	human	613-89-8	C09764				
MA000044	2-Aminoethanethiol	C2H7NS	Organosulfur compounds|Thiols|Alkylthiols	UFULAYFCSOUIOV-UHFFFAOYSA-N	NCCS	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS	77.029920224	6058	10	human	60-23-1	C03176			urine	
MA000045	2-Aminoethylphosphonic acid	C2H8NO3P	Organic acids and derivatives|Organic phosphonic acids and derivatives|Organic phosphonic acids	QQVDJLLNRSOCEL-UHFFFAOYSA-N	NCCP(O)(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ||GC-EI-TOF	125.02417974599999	339	38	human	2041-14-7	C03557	R04152|R04247|R04248|R04249|R04250|R04252|R10724|R11479	map00440|map01100|map01120|map02010	urine	
MA000046	2-Aminophenol	C6H7NO	Benzenoids|Benzene and substituted derivatives|Aniline and substituted anilines	CDAWCLOXVUBKRW-UHFFFAOYSA-N	OC=1C=CC=CC1N	ESI-QFT|ESI-QQQ|ESI-QTOF|GC-EI-TOF|EI-B	109.052763844	5801	18	Pseudomonas pseudoalcaligenes	95-55-6	C02864	R03633			
MA000047	2-Chloro-N6-cyclopentyladenosine	C15H20ClN5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	XSMYYYQVWPZWIZ-IDTAVKCVSA-N	ClC=1N=C(NC2CCCC2)C=3N=CN(C3N1)C4OC(CO)C(O)C4O	ESI-QFT|ESI-QTOF	369.1203818	123807	4		37739-05-2					
MA000048	2-Chloroadenosine	C10H12ClN5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	BIXYYZIIJIXVFW-UUOKFMHZSA-N	ClC=1N=C(N)C=2N=CN(C2N1)C3OC(CO)C(O)C3O	ESI-QFT|ESI-QTOF	301.057781544	8974	4		146-77-0	C06753	R05284|R05285|R09128	map00625|map01100|map01120		
MA000049	2-Deoxycytidine-5-monophosphoric acid	C9H14N3O7P	Nucleosides, nucleotides, and analogues|Pyrimidine nucleotides|Pyrimidine deoxyribonucleotides	NCMVOABPESMRCP-SHYZEUOFSA-N	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1	ESI-QFT|ESI-QTOF|ESI-QQQ	307.056936418	13945	14	human	1032-65-1	C11781			proteins	
MA000050	2-Deoxyuridine	C9H12N2O5	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|Pyrimidine 2'-deoxyribonucleosides	MXHRCPNRJAMMIM-SHYZEUOFSA-N	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|GC-MS|	228.07462148399998	13712	33	human	951-78-0	C11545	R05813|R05814|R07775	map00860|map01100	urine	
MA000051	2-Hexenal	C6H10O	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	MBDOYVRWFFCFHM-SNAWJCMRSA-N	O=CC=CCCC	ESI-QFT|ESI-QTOF|EI-B	98.07316494	5281168	6	Aloe arborescens var. natalensis|Dianthus caryophyllus L.|Brassica hirta|Ocotea sinuata|Olea europaea|Citrus sinensis L.|Lycopersicon esculentum Mill.|Thea sinensis|Capillipedium parviflorum	505-57-7					
MA000052	2-Hydroxyacetophenone	C8H8O2	Organic oxygen compounds|Organooxygen compounds|Carbonyl compounds	ZWVHTXAYIKBMEE-UHFFFAOYSA-N	O=C(C=1C=CC=CC1)CO	ESI-QFT|ESI-QTOF	136.052429496	68490	2		582-24-1	C07189	R05427	map00642|map01120		
MA000053	2-Hydroxychalcone	C15H12O2	Phenylpropanoids and polyketides|Linear 1,3-diarylpropanoids|Chalcones and dihydrochalcones	UDOOPSJCRMKSGL-ZHACJKMWSA-N	O=C(C=CC=1C=CC=CC1O)C=2C=CC=CC2	ESI-QFT|ESI-QTOF	224.083729624	5367146	16		644-78-0					
MA000054	2-Quinolone	C9H7NO	Organoheterocyclic compounds|Quinolines and derivatives|Quinolones and derivatives	LISFMEBWQUVKPJ-UHFFFAOYSA-N	OC=1N=C2C=CC=CC2=CC1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF	145.052763844	6038	27	Glycosmis arborea	59-31-4	C06415	R05152			
MA000055	4-Vinyl guaiacol	C9H10O2	Benzenoids|Phenols|Methoxyphenols	YOMSJEATGXXYPX-UHFFFAOYSA-N	COC1=CC(C=C)=CC=C1O	ESI-QFT|ESI-QTOF|EI-B	150.06807956	332	4	human|Anthemis aciphylla BOISS.var.discoidea BOISS	7786-61-0	C17883	R11071		urine	
MA000056	2-Phenylacetamide	C8H9NO	Benzenoids|Benzene and substituted derivatives|Phenylacetamides	LSBDFXRDZJMBSC-UHFFFAOYSA-N	NC(=O)CC1=CC=CC=C1	ESI-QFT|ESI-QTOF|GC-EI-TOF|GC-MS	135.068413908	7680	5	human	103-81-1	C05296	R01842|R04760	map00140	proteins	
MA000057	2-Propanamidoacetic acid	C5H9NO3	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	WOMAZEJKVZLLFE-UHFFFAOYSA-N	CCC(=O)NCC(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ	131.058243148	98681	7	human	21709-90-0				urine	
MA000058	2-Hydroxypyridine	C5H5NO	Organoheterocyclic compounds|Pyridines and derivatives|Hydropyridines	UBQKCCHYAOITMY-UHFFFAOYSA-N	OC1=CC=CC=N1	ESI-QFT|ESI-QTOF|ESI-QQQ|GC-EI-TOF|EI-B|GC-MS	95.03711378	8871	21	human|Arabidopsis thaliana	142-08-5	C06645	R05256|R05363	map00621|map01120|map01220		
MA000059	2-Thiocytidine	C9H13N3O4S	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	RHFUOMFWUGWKKO-XVFCMESISA-N	N=C1N=C(S)N(C=C1)C2OC(CO)C(O)C2O	ESI-QFT|ESI-QTOF	259.062676896	3011746	3		13239-97-9					
MA000060	2-Thiouridine	C9H12N2O5S	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	GJTBSTBJLVYKAU-XVFCMESISA-N	S=C1N=C(O)C=CN1C2OC(CO)C(O)C2O	ESI-QFT	260.046692484	3036443	2		20235-78-3					
MA000061	3',5'-Cyclic dAMP	C10H12N5O5P	Organoheterocyclic compounds|Imidazopyrimidines|Purines and purine derivatives	MKMZAENVDZADSW-RRKCRQDMSA-N	O=P1(O)OCC2OC(N3C=NC=4C(=NC=NC43)N)CC2O1	ESI-QFT|ESI-QTOF	313.057605114	188955	20		1157-33-1					
MA000062	3'-O-Methylcytidine	C10H15N3O5	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	RZJCFLSPBDUNDH-ZOQUXTDFSA-N	N=C1N=C(O)N(C=C1)C2OC(CO)C(OC)C2O	ESI-QFT	257.10117058000003	18651938	1							
MA000063	3'-O-Methylguanosine	C11H15N5O5	Nucleosides, nucleotides, and analogues|Purine nucleosides|	UYARPHAXAJAZLU-KQYNXXCUSA-N	CO[C@@H]1[C@@H](CO)O[C@H]([C@@H]1O)N1C=NC2=C1NC(N)=NC2=O	ESI-QFT|ESI-QTOF	297.10731858	135742509	3	human	10300-27-3					
MA000064	3'-O-Methylinosine	C11H14N4O5	Nucleosides, nucleotides, and analogues|Purine nucleosides|	ABXDBVMGRKZFRC-VTFQDDHLSA-N	OC1=NC=NC2=C1N=CN2C3OC(CO)C(OC)C3O	ESI-QFT|ESI-QTOF	282.09641954800003	137248659	4							
MA000065	3'-O-Methyluridine	C10H14N2O6	Nucleosides, nucleotides, and analogues|Pyrimidine nucleosides|	YKNATSNMFLEFRB-ZOQUXTDFSA-N	O=C1N=C(O)C=CN1C2OC(CO)C(OC)C2O	ESI-QFT|ESI-QTOF	258.085186168	23257697	3							
MA000066	3,4-Dihydroxymandelic acid	C8H8O5	Benzenoids|Phenols|Benzenediols	RGHMISIYKIHAJW-UHFFFAOYSA-N	OC(C(O)=O)C1=CC=C(O)C(O)=C1	ESI-QFT|ESI-QQQ|ESI-QTOF|GC-EI-TOF|GC-MS	184.03717335599998	85782	20	human	775-01-9	C05580	R04882|R04883|R04887	map00350|map01100	urine	
MA000067	3,4-Dihydroxyphenylalanine	C9H11NO4	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	WTDRDQBEARUVNC-UHFFFAOYSA-N	NC(CC1=CC=C(O)C(O)=C1)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ	197.06880783199998	836	13	human	63-84-3				serum	Kidney disease|Coma|Psychosis|Nervous system disorders|Seizure
MA000068	Adenosine	C10H13N5O4	Nucleosides, nucleotides, and analogues|Purine nucleosides|	OIRDTQYFTABQOQ-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	ESI-QFT|ESI-QTOF|ESI-ITFT|ESI-QQQ|GC-EI-TOF|GC-MS	267.09675389600005	60961	124	human	58-61-7				urine	Septic shock
MA000069	Adenosine-3-monophosphate	C10H14N5O7P	Nucleosides, nucleotides, and analogues|Ribonucleoside 3'-phosphates|	LNQVTSROQXJCDD-KQYNXXCUSA-N	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1	ESI-QFT|ESI-QTOF|ESI-QQQ|ESI-ITFT|GC-EI-TOF	347.063084418	41211	21	human	84-21-9				saliva	
MA000070	Corticosterone	C21H30O4	Lipids and lipid-like molecules|Steroids and steroid derivatives|Hydroxysteroids	OMFXVFTZEKFJBZ-HJTSIMOOSA-N	[H][C@@]1(CC[C@@]2([H])[C@]3([H])CCC4=CC(=O)CC[C@]4(C)[C@@]3([H])[C@@]([H])(O)C[C@]12C)C(=O)CO	ESI-QFT|ESI-QTOF|ESI-QQQ|EI-B|GC-MS	346.21440944	5753	32	human	50-22-6	C02803			serum	Depersonalization disorder
MA000071	Adrenosterone	C19H24O3	Lipids and lipid-like molecules|Steroids and steroid derivatives|Androstane steroids	RZRPTBIGEANTGU-IRIMSJTPSA-N	[H][C@@]12CCC(=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C	ESI-QFT|ESI-QTOF|GC-MS	300.17254462799997	223997	19	human	382-45-6				proteins	
MA000072	Leucine	C6H13NO2	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	ROHFNLRQFUQHCH-YFKPBYRVSA-N	CC(C)C[C@H](N)C(O)=O	ESI-QFT|ESI-QTOF|ESI-QQQ|EI-B|GC-EI-TOF|GC-EI-QQ|	131.094628656	6106	57	human	61-90-5	C03236			urine	Epilepsy|Schizophrenia|Cardiac disorders|Heart failure
MA000073	Ala-Ile	C9H18N2O3	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	ZSOICJZJSRWNHX-ACZMJKKPSA-N	O=C(O)C(N=C(O)C(N)C)C(C)CC	ESI-QFT|ESI-QTOF	202.13174243599997	7408078	4							
MA000074	Letrozol	C17H11N5	Benzenoids|Benzene and substituted derivatives|Diphenylmethanes	HPJKCIUCZWXJDR-UHFFFAOYSA-N	N#CC1=CC=C(C=C1)C(N1C=NC=N1)C1=CC=C(C=C1)C#N	ESI-QFT|ESI-QTOF	285.10144535200004	3902	22	human	112809-51-5	C08163			urine	
MA000075	Ala-Val	C8H16N2O3	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	LIWMQSWFLXEGMA-WDSKDSINSA-N	CC(C)[C@H](NC(=O)[C@H](C)N)C(O)=O	ESI-QFT|ESI-QTOF	188.11609237199997	96799	4	human	3303-45-5				saliva	
MA000076	Levetiracetam	C8H14N2O2	Organic acids and derivatives|Carboxylic acids and derivatives|Amino acids, peptides, and analogues	HPHUVLMMVZITSG-LURJTMIESA-N	O=C1N(CCC1)C(C(=N)O)CC	ESI-QFT|ESI-QTOF	170.105527688	5284583	2		102767-28-2	C07841				
